,No,smiles
153,4C55_2,c1c(C#N)c2c(cc1)c1cc3c(c(C#N)c(C#N)c4ccc(C#N)cc34)cc1cc2
154,4C55_3,c1cc2c(cc1)c1cc3c(c(C#N)c(C#N)c4cccc(C#N)c34)cc1c(C#N)c2
155,4C55_4,c1c(C#N)c2c(cc1)c1cc3c(cc(C#N)c4c(C#N)cccc34)cc1c(C#N)c2
156,4C55_5,c1cc2c(cc1)c1cc3c(cc(C#N)c4cc(C#N)c(C#N)cc34)cc1c(C#N)c2
157,4C55_6,c1cc2c(cc1)c1cc3c(ccc4c(C#N)c(C#N)c(C#N)c(C#N)c34)cc1cc2
158,4C55_7,c1cc2c(cc1)c1cc3c(c(C#N)c(C#N)c4c(C#N)cccc34)c(C#N)c1cc2
159,4C55_8,c1(C#N)cc2c(cc1)c1cc3c(c(C#N)cc4cc(C#N)ccc34)cc1c(C#N)c2
160,4C55_9,c1(C#N)c(C#N)c2c(cc1)c1cc3c(ccc4cc(C#N)ccc34)c(C#N)c1cc2
161,4C61_1,c1c(C#N)c2cc3cc4cc5c(C#N)c6c(cc(C#N)c(C#N)c6)cc5cc4cc3cc2cc1
162,4C61_10,c1cc2cc3cc4cc5cc6c(cc(C#N)c(C#N)c6C#N)cc5cc4c(C#N)c3cc2cc1
163,4C61_2,c1cc2cc3c(C#N)c4cc5cc6c(cccc6C#N)c(C#N)c5c(C#N)c4cc3cc2cc1
164,4C61_3,c1(C#N)cc2cc3cc4cc5cc6c(cc(C#N)cc6)cc5cc4c(C#N)c3cc2c(C#N)c1
165,4C61_4,c1(C#N)cc2cc3cc4cc5c(C#N)c6c(cc(C#N)cc6)c(C#N)c5cc4cc3cc2cc1
166,4C61_5,c1cc2cc3cc4cc5cc6c(cc(C#N)cc6)cc5cc4c(C#N)c3c(C#N)c2c(C#N)c1
167,4C61_6,c1(C#N)cc2cc3cc4c(C#N)c5cc6c(c(C#N)c(C#N)cc6)cc5cc4cc3cc2cc1
168,4C61_7,c1cc2c(C#N)c3cc4c(C#N)c5cc6c(cc(C#N)cc6C#N)cc5cc4cc3cc2cc1
169,4C61_8,c1(C#N)cc2c(C#N)c3cc4cc5cc6c(cc(C#N)c(C#N)c6)cc5cc4cc3cc2cc1
170,4C61_9,c1c(C#N)c2cc3c(C#N)c4cc5cc6c(cccc6)cc5c(C#N)c4cc3cc2c(C#N)c1
171,4C62_1,c1cc2c(cc1C#N)cc1c(C#N)c3cc4c(cc(C#N)c5c4ccc(C#N)c5)cc3cc1c2
172,4C62_10,c1cc2c(cc1)cc1cc3cc4c(cc(C#N)c5c4cc(C#N)c(C#N)c5C#N)cc3cc1c2
173,4C62_2,c1c(C#N)c2c(cc1C#N)cc1c(C#N)c3cc4c(c(C#N)cc5c4cccc5)cc3cc1c2
174,4C62_3,c1c(C#N)c2c(cc1)cc1c(C#N)c3cc4c(ccc5c4cc(C#N)c(C#N)c5)cc3cc1c2
175,4C62_4,c1cc2c(cc1)cc1cc3cc4c(cc(C#N)c5c4cc(C#N)c(C#N)c5)c(C#N)c3cc1c2
176,4C62_5,c1c(C#N)c2c(c(C#N)c1)cc1cc3cc4c(cc(C#N)c5c4cc(C#N)cc5)cc3cc1c2
177,4C62_6,c1(C#N)cc2c(cc1C#N)cc1cc3cc4c(c(C#N)cc5c4cccc5)cc3c(C#N)c1c2
178,4C62_7,c1cc2c(c(C#N)c1C#N)cc1cc3c(C#N)c4c(ccc5c4cccc5)c(C#N)c3cc1c2
179,4C62_8,c1c(C#N)c2c(cc1)cc1cc3cc4c(c(C#N)cc5c4ccc(C#N)c5)cc3c(C#N)c1c2
180,4C62_9,c1cc2c(cc1)cc1c(C#N)c3cc4c(cc(C#N)c5c4cccc5C#N)cc3c(C#N)c1c2
181,4C72_1,c1(C#N)cc2c(cc1C#N)cc1c(C#N)c3cc4cc5c(ccc6c5cc(C#N)cc6)cc4cc3cc1c2
182,4C72_2,c1cc2c(c(C#N)c1C#N)cc1cc3cc4cc5c(ccc6c5cccc6C#N)cc4c(C#N)c3cc1c2
183,4C72_3,c1c(C#N)c2c(cc1)cc1cc3cc4cc5c(ccc6c5ccc(C#N)c6C#N)cc4cc3c(C#N)c1c2
184,4C72_4,c1cc2c(cc1)cc1cc3cc4cc5c(c(C#N)c(C#N)c6c5cc(C#N)cc6)cc4c(C#N)c3cc1c2
185,4C72_5,c1c(C#N)c2c(cc1)cc1c(C#N)c3cc4cc5c(cc(C#N)c6c5cccc6)cc4cc3c(C#N)c1c2
186,4C72_6,c1(C#N)cc2c(cc1)cc1cc3cc4cc5c(ccc6c5c(C#N)ccc6C#N)c(C#N)c4cc3cc1c2
187,4C72_7,c1(C#N)cc2c(cc1)cc1c(C#N)c3cc4cc5c(cc(C#N)c6c5cccc6)cc4c(C#N)c3cc1c2
188,4C72_8,c1c(C#N)c2c(c(C#N)c1)cc1cc3cc4cc5c(cc(C#N)c6c5cccc6)cc4cc3c(C#N)c1c2
189,4C72_9,c1c(C#N)c2c(cc1)cc1cc3c(C#N)c4cc5c(cc(C#N)c6c5cccc6)cc4c(C#N)c3cc1c2
190,4C73_1,c1cc2cc3c(cc2c(C#N)c1C#N)c1cc2cc4cc5cc(C#N)cc(C#N)c5cc4cc2cc1cc3
191,4C73_2,c1(C#N)cc2cc3c(c(C#N)c2cc1)c1cc2cc4cc5c(C#N)cccc5c(C#N)c4cc2cc1cc3
192,4C73_3,c1cc2cc3c(cc2cc1)c1cc2c(C#N)c4cc5c(C#N)c(C#N)ccc5c(C#N)c4cc2cc1cc3
193,4C73_4,c1cc2cc3c(cc2cc1C#N)c1c(C#N)c2cc4cc5cc(C#N)ccc5c(C#N)c4cc2cc1cc3
194,4C73_5,c1cc2cc3c(cc2cc1)c1cc2cc4c(C#N)c5cccc(C#N)c5cc4c(C#N)c2cc1c(C#N)c3
195,4C73_6,c1(C#N)cc2c(C#N)c3c(c(C#N)c2cc1C#N)c1cc2cc4cc5ccccc5cc4cc2cc1cc3
196,4C73_7,c1cc2cc3c(cc2c(C#N)c1)c1cc2cc4c(C#N)c5c(C#N)c(C#N)ccc5cc4cc2cc1cc3
197,4C73_8,c1(C#N)c(C#N)c2c(C#N)c3c(cc2cc1)c1cc2cc4cc5ccc(C#N)cc5cc4cc2cc1cc3
198,4C73_9,
199,4C77_1,c1(C#N)cc2c(cc1)c1cc3c(C#N)c4cc5c(ccc6ccccc56)cc4c(C#N)c3c(C#N)c1cc2
200,4C77_2,c1cc2c(c(C#N)c1)c1cc3cc4cc5c(ccc6cc(C#N)ccc56)c(C#N)c4c(C#N)c3cc1cc2
201,4C77_3,c1(C#N)c(C#N)c2c(c(C#N)c1)c1cc3cc4cc5c(cc(C#N)c6ccccc56)cc4cc3cc1cc2
202,4C77_4,c1c(C#N)c2c(cc1C#N)c1cc3cc4cc5c(ccc6ccccc56)c(C#N)c4cc3cc1c(C#N)c2
203,4C77_5,c1(C#N)cc2c(cc1C#N)c1cc3c(C#N)c4cc5c(ccc6cccc(C#N)c56)cc4cc3cc1cc2
204,4C77_6,c1(C#N)cc2c(cc1)c1cc3cc4cc5c(ccc6c(C#N)cc(C#N)c(C#N)c56)cc4cc3cc1cc2
205,4C77_7,c1(C#N)cc2c(cc1)c1cc3c(C#N)c4cc5c(ccc6ccccc56)cc4c(C#N)c3cc1c(C#N)c2
206,4C77_8,c1cc2c(cc1)c1cc3cc4cc5c(c(C#N)c(C#N)c6cc(C#N)ccc56)cc4cc3c(C#N)c1cc2
207,4C77_9,c1cc2c(cc1)c1cc3cc4cc5c(ccc6c(c(ccc56)C#N)C#N)cc4c(c3cc1c(c2)C#N)C#N
208,511_1,c1cc2c(cc1C#N)cc1cc3c(c(C#N)cc4c3cccc4)cc1c2
209,511_10,c1cc2c(c(C#N)c1)cc1cc3c(c(C#N)cc4c3cccc4)cc1c2
210,511_11,c1(C#N)cc2c(c(C#N)c1)cc1cc3c(ccc4c3cccc4)cc1c2
211,511_12,c1cc2c(cc1C#N)cc1cc3c(ccc4c3cccc4)c(C#N)c1c2
212,511_2,c1(C#N)cc2c(cc1)c(C#N)c1cc3c(ccc4c3cccc4)cc1c2
213,511_3,c1(C#N)cc2c(cc1)cc1cc3c(c(C#N)cc4c3cccc4)cc1c2
214,511_4,c1cc2c(cc1C#N)cc1cc3c(ccc4c3cc(C#N)cc4)cc1c2
215,511_5,c1cc2c(c(C#N)c1)c(C#N)c1cc3c(ccc4c3cccc4)cc1c2
216,511_6,c1cc2c(c(C#N)c1)cc1cc3c(ccc4c3cc(C#N)cc4)cc1c2
217,511_7,c1cc2c(cc1)c(C#N)c1cc3c(ccc4c3cc(C#N)cc4)cc1c2
218,511_8,c1cc2c(cc1)cc1cc3c(cc(C#N)c4c3ccc(C#N)c4)cc1c2
219,511_9,c1cc2c(cc1C#N)cc1cc3c(ccc4c3cccc4C#N)cc1c2
220,55_1,c1c(C#N)c2c(cc1C#N)c1cc3c(ccc4ccccc34)cc1cc2
221,55_10,c1c(C#N)c2c(cc1)c1cc3c(ccc4ccccc34)cc1c(C#N)c2
222,55_11,c1cc2c(cc1)c1cc3c(c(C#N)c(C#N)c4ccccc34)cc1cc2
223,55_2,c1cc2c(cc1)c1cc3c(cc(C#N)c4ccccc34)c(C#N)c1cc2
224,55_3,c1cc2c(c(C#N)c1)c1cc3c(ccc4c(C#N)cccc34)cc1cc2
