,No,smiles
209,C62.3,c12c(cc3c(c1)c1c(cc3)cc(cc1)C#N)cc1c(c2)cc2c(c1)cccc2
210,C62.4,c12c(cc3c(c1)c1c(cc3)c(ccc1)C#N)cc1c(c2)cc2c(c1)cccc2
211,C62.5,c12c(cc3c(c1)c1c(c(c3)C#N)cccc1)cc1c(c2)cc2c(c1)cccc2
212,C62.6,c12c(cc3c(c1)c1c(cc3C#N)cccc1)cc1c(c2)cc2c(c1)cccc2
213,C62.7,c12c(c(c3c(c1)c1c(cc3)cccc1)C#N)cc1c(c2)cc2c(c1)cccc2
214,C62.8,c12c(cc3c(c1)c1c(cc3)cccc1)c(c1c(c2)cc2c(c1)cccc2)C#N
215,C62.9,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1C#N)cccc2
216,C6201,c1cc2c(cc1)c1cc3c(cc1cc2C#N)c1c(cccc1)c1ccccc31
217,C62010,c1c(c2c(cc1)c1cc3c(cc1cc2)c1c(cccc1)c1ccccc31)C#N
218,C6202,c1cc2c(cc1)c1cc3c(cc1c(c2)C#N)c1c(cccc1)c1ccccc31
219,C6203,c1cc2c(cc1)c1cc3c(c(c1cc2)C#N)c1c(cccc1)c1ccccc31
220,C6204,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cccc1C#N)c1ccccc31
221,C6205,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(ccc(c1)C#N)c1ccccc31
222,C6206,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(c(ccc1)C#N)c1ccccc31
223,C6207,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cccc1)c1c(cccc31)C#N
224,C6208,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cccc1)c1cccc(c31)C#N
225,C6209,c1cc2c(cc1)c1c(c3c(cc1cc2)c1c(cccc1)c1ccccc31)C#N
226,C6211,c1cc2c(cc1)c1c(c3c(cc1cc2)c1c(cc3)c2c(cccc2)cc1)C#N
