,BG,IP,EA,PAH DPO,smiles,no_longest,SDPO
C5106,3.2945868,5.6849853,2.3903985,2.03,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2c(ccc1)C#N,s,((s))*(1/1)
C62810,3.4820637,5.8335519,2.3514882,1.78,c1cc2c(cc1)c1cc3c(ccc4c3c3c(cccc3)cc4C#N)cc1cc2,s,((s))*(1/1)
C686,3.3383949,5.7279771,2.3895822,1.95,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(c(cc3ccccc23)C#N)cc1,s,((s))*(1/1)
C6263,3.3340413,5.836545,2.5025037,1.78,c1cc2c(cc1)c1c(cc2)c2cc3ccccc3c(c2c2c1cccc2)C#N,sa,((sa*1))*(1/1)
C6277,3.4945803,5.7565476,2.2619673,1.95,c1cc2c(cc1)cc1c(ccc3c1ccc1c3ccc3c1cc(cc3)C#N)c2,s,((s))*(1/1)
C6265,3.5631495,5.7660711,2.2029216,1.78,c1cc2c(cc1)c1c(cc2)c2cc3ccccc3cc2c2c1c(ccc2)C#N,s,((s))*(1/1)
C424,3.9976932,6.2430624,2.2453692,0.5,c1cc2c(cc1)c1c(ccc3cc(ccc13)C#N)cc2,sa,((sa*1)+(s)+(s))*(1/3)
C679,3.3881892,5.9274264,2.5392372,1.78,c1cc2c(cc1)c1c(cc2)c2c(cc1)c(c1ccc3ccccc3c1c2)C#N,sa,((sa*1))*(1/1)
C6108,2.6605938,5.4458094,2.7852156,2.93,c12c(cc3c(c1)c1c(cc3C#N)ccc3c1cccc3)cc1c(c2)cccc1,sa,((sa*1))*(1/1)
C5414,3.7481775,5.9407593,2.1925818,0.83,c1cc2c(cc1)c1c(cc2)c2c(cccc2c2c1cccc2)C#N,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C6186,3.1906446,5.4977805,2.3071359,2.37,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(cccc2)c2cccc(c12)C#N,s,((s))*(1/1)
C6283,3.3560814,5.9040258,2.5479444,1.78,c1cc2c(cc1)c1cc3c(ccc4c3c3c(cccc3)cc4)c(c1cc2)C#N,sa,((sa*1))*(1/1)
C683,3.2562207,5.8653876,2.6091669,1.95,c1cc2c(c3c(cc2cc1)c1c(cc3)c2c(ccc3ccccc23)cc1)C#N,sa,((sa*1))*(1/1)
C6253,3.7846389,6.1067403,2.3221014,1.17,c1cc2c(cc1)c1c(cc2C#N)ccc2c1c1c(cccc1)c1ccccc21,sa,((s)+(s)+(s)+(sa*1)+(sa*1))*(1/5)
C661,2.9150073,5.656959,2.7419517,2.35,c1cc2c(cc1)c1cc3c(c4c(ccc5ccccc45)cc3cc1cc2)C#N,sa,((sa*1))*(1/1)
C6319,3.7677687,6.0082401,2.2404714,1.17,c1c(c2c(cc1)c1c(cc2)c2c(cc1)c1c(ccc3ccccc13)cc2)C#N,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C6291,3.5884548,5.8199469,2.2314921,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)ccc1c2c(cc2c1cccc2)C#N,sa,((sa*1)+(sa*1)+(s)+(s)+(s))*(1/5)
C5108,3.3049266,5.855592,2.5506654,2.03,c1ccc2c(c1)cc1c(c2)c(cc2c1ccc1c2cccc1)C#N,sa,((sa*1))*(1/1)
C62.13,2.2597905,5.2523463,2.9925558,3.45,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cccc2C#N,sa,((sa*1))*(1/1)
C6264,3.5860059,5.7546429,2.168637,1.78,c1cc2c(cc1)c1c(cc2)c2cc3ccccc3cc2c2c1cccc2C#N,s,((s))*(1/1)
C6111,2.9054838,5.6580474,2.7525636,2.35,c1cc2c(cc1)c1cc3cc4c(c(c3cc1cc2)C#N)c1c(cccc1)cc4,sa,((sa*1))*(1/1)
C6272,3.357714,5.8770879,2.5193739,1.95,c1cc2c(cc1)cc1c(c(cc3c1ccc1c3ccc3c1cccc3)C#N)c2,sa,((sa*1))*(1/1)
C6318,3.7138929,5.9932746,2.2793817,1.17,c1cc2c(cc1)c1c(cc2)c2c(c(c1)C#N)c1c(ccc3ccccc13)cc2,sa,((s)+(s)+(sa*1)+(sa*1)+(s))*(1/5)
C6273,3.2875122,5.9086515,2.6211393,1.95,c1cc2c(cc1)cc1c(ccc3c1ccc1c3ccc3c1cccc3)c2C#N,sa,((sa*1))*(1/1)
